=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.07.23 10:41:25 =~=~=~=~=~=~=~=~=~=~=~=
797.99
797.68
797.84
16.82
797.92
16.82
797.84
797.85
16.82
16.82
16.82
797.82
16.82
797.82
16.82
16.82
16.82
16.82
16.82
16.82
797.66
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.93
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.84
16.82
16.82
16.81
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.81
16.82
16.93
16.82
16.82
16.82
797.85
16.82
16.82
797.75
16.82
797.84
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.93
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.81
16.82
16.82
16.82
16.82
16.82
16.82
16.88
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.82
16.86
797.82
16.82
16.82
16.82
797.82
16.82
16.82
16.82
16.82
16.82
30.72
16.82
797.85
16.81
35.77
35.77
16.82
16.82
16.82
16.82
16.82
16.82
56.03
22.48
16.82
20.01
55.41
22.43
20.01
17.78
16.82
17.15
18.73
19.05
20.34
22.83
17.13
20.34
22.43
15.86
16.82
12.47
9.40
9.52
9.42
12.13
9.18
9.16
10.77
12.13
10.53
9.18
8.37
8.47
7.39
9.40
6.84
6.43
5.56
4.60
7.19
5.88
5.88
5.88
5.78
5.88
5.78
5.88
9.07
8.47
8.15
9.07
11.90
10.87
18.74
16.50
16.82
18.73
16.82
16.82
16.82
16.82
16.82
16.82
797.78
16.82
16.82
16.81
16.81
16.82
16.82
16.82
16.82
16.82
